Time: 2019-Dec-05__16_13_42PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_44PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_46PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_48PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_50PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_52PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_13_54PM2.5: 0.6  PM10: 1.5
Time: 2019-Dec-05__16_13_57PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-05__16_14_29PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_14_31PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_14_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_14_36PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_14_38PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_14_40PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_14_42PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_14_44PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_14_46PM2.5: 0.5  PM10: 2.3
Time: 2019-Dec-05__16_14_48PM2.5: 0.5  PM10: 2.0
Time: 2019-Dec-05__16_14_50PM2.5: 0.5  PM10: 1.9
Time: 2019-Dec-05__16_14_52PM2.5: 0.5  PM10: 1.7
Time: 2019-Dec-05__16_14_54PM2.5: 0.5  PM10: 1.7
Time: 2019-Dec-05__16_14_57PM2.5: 0.5  PM10: 1.6
Time: 2019-Dec-05__16_14_59PM2.5: 0.5  PM10: 1.7
Time: 2019-Dec-05__16_15_31PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_15_33PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_15_36PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_15_38PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_15_40PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_15_42PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_15_44PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_15_46PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_15_48PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_15_50PM2.5: 0.5  PM10: 1.8
Time: 2019-Dec-05__16_15_52PM2.5: 0.4  PM10: 1.7
Time: 2019-Dec-05__16_15_54PM2.5: 0.5  PM10: 1.6
Time: 2019-Dec-05__16_15_57PM2.5: 0.5  PM10: 1.5
Time: 2019-Dec-05__16_15_59PM2.5: 0.5  PM10: 1.5
Time: 2019-Dec-05__16_16_01PM2.5: 0.5  PM10: 1.4
Time: 2019-Dec-05__16_16_34PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_16_36PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_16_38PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_16_40PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_42PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_44PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_16_46PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_16_48PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_50PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_52PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_54PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_57PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_16_59PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_01PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_03PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_36PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_17_38PM2.5: 0.2  PM10: 0.2
Time: 2019-Dec-05__16_17_40PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_17_42PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_17_44PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_17_46PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_17_48PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_50PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_52PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_17_55PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_57PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_17_59PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_18_01PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_18_03PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_18_05PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_18_38PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_18_40PM2.5: 2.2  PM10: 16.5
Time: 2019-Dec-05__16_18_42PM2.5: 1.6  PM10: 8.6
Time: 2019-Dec-05__16_18_44PM2.5: 1.3  PM10: 5.9
Time: 2019-Dec-05__16_18_46PM2.5: 1.1  PM10: 4.5
Time: 2019-Dec-05__16_18_48PM2.5: 1.0  PM10: 3.3
Time: 2019-Dec-05__16_18_50PM2.5: 0.9  PM10: 2.8
Time: 2019-Dec-05__16_18_53PM2.5: 0.8  PM10: 2.5
Time: 2019-Dec-05__16_18_55PM2.5: 0.8  PM10: 2.3
Time: 2019-Dec-05__16_18_57PM2.5: 0.7  PM10: 2.1
Time: 2019-Dec-05__16_18_59PM2.5: 0.7  PM10: 1.9
Time: 2019-Dec-05__16_19_01PM2.5: 0.7  PM10: 1.8
Time: 2019-Dec-05__16_19_03PM2.5: 0.7  PM10: 1.6
Time: 2019-Dec-05__16_19_05PM2.5: 0.7  PM10: 1.6
Time: 2019-Dec-05__16_19_07PM2.5: 0.6  PM10: 1.5
Time: 2019-Dec-05__16_19_40PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_19_42PM2.5: 0.9  PM10: 1.0
Time: 2019-Dec-05__16_19_44PM2.5: 0.9  PM10: 0.9
Time: 2019-Dec-05__16_19_46PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_19_48PM2.5: 0.7  PM10: 1.9
Time: 2019-Dec-05__16_19_51PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_19_53PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-05__16_19_55PM2.5: 0.6  PM10: 1.4
Time: 2019-Dec-05__16_19_57PM2.5: 0.6  PM10: 1.3
Time: 2019-Dec-05__16_19_59PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_20_01PM2.5: 0.6  PM10: 1.2
Time: 2019-Dec-05__16_20_03PM2.5: 0.6  PM10: 1.1
Time: 2019-Dec-05__16_20_05PM2.5: 0.6  PM10: 1.1
Time: 2019-Dec-05__16_20_07PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-05__16_20_09PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-05__16_20_42PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_20_44PM2.5: 0.2  PM10: 0.2
Time: 2019-Dec-05__16_20_46PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_20_48PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_20_51PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_20_53PM2.5: 0.5  PM10: 0.5
