Time: 2019-Nov-25__15_33_45PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_33_47PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_33_49PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_33_51PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_33_54PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_33_56PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_33_58PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_34_00PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_34_02PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_34_04PM2.5: 0.5  PM10: 1.5
Time: 2019-Nov-25__15_34_06PM2.5: 0.5  PM10: 1.4
Time: 2019-Nov-25__15_34_39PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_34_41PM2.5: 0.3  PM10: 0.3
Time: 2019-Nov-25__15_34_43PM2.5: 0.4  PM10: 0.7
Time: 2019-Nov-25__15_34_45PM2.5: 0.5  PM10: 0.6
Time: 2019-Nov-25__15_34_47PM2.5: 0.7  PM10: 0.9
Time: 2019-Nov-25__15_34_49PM2.5: 0.7  PM10: 1.2
Time: 2019-Nov-25__15_34_51PM2.5: 0.7  PM10: 1.1
Time: 2019-Nov-25__15_34_54PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_34_56PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_34_58PM2.5: 0.6  PM10: 1.1
Time: 2019-Nov-25__15_35_00PM2.5: 0.7  PM10: 1.1
Time: 2019-Nov-25__15_35_02PM2.5: 0.7  PM10: 1.0
Time: 2019-Nov-25__15_35_04PM2.5: 0.7  PM10: 1.0
Time: 2019-Nov-25__15_35_06PM2.5: 0.7  PM10: 1.0
Time: 2019-Nov-25__15_35_08PM2.5: 0.6  PM10: 0.9
Time: 2019-Nov-25__15_35_41PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_35_43PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_35_45PM2.5: 0.4  PM10: 2.8
Time: 2019-Nov-25__15_35_47PM2.5: 0.5  PM10: 2.6
